course_name,prerequisite_concepts,content_concepts
Computer networks,[],"['computer', 'meaning', 'cooperation', 'point', 'assembly', 'procedure', 'encryption', 'translation', 'communication', 'structure', 'cryptosystem', 'management', 'software', 'algorithm', 'service', 'architecture', 'configuration management', 'cryptology', 'work', 'passive optical network', 'computer network', 'technology', 'part', 'transmission', 'market', 'slip', 'detection', 'control', 'calculating', 'agreement', 'life', 'ler', 'distribution', 'frame', 'technique', 'network security', 'link', 'system', 'data', 'edge', 'information', 'medium', 'flow', 'internet', 'reach', 'cell', 'functionality', 'core', 'mode', 'operation', 'power', 'variant', 'protocol', 'policy', 'selection', 'construction', 'model', 'topology', 'design']"
Compilation Theory and Compilers,"['logic', 'grammar', 'knowledge', 'process', 'linguistics', 'parsing']","['translation', 'structure', 'optimization', 'syntax', 'implementation', 'construction', 'process', 'memory', 'parsing', 'work', 'operation']"
Data Engineering,"['database', 'knowledge']","['series', 'query', 'completeness', 'component', 'geographic data', 'data', 'visualisation', 'design', 'representation']"
Machine learning,"['algebra', 'statistics']","['reinforcement learning', 'decision', 'neural network', 'classifier', 'machine learning', 'forest', 'operation', 'regression']"
Software development models,"['requirements engineering', 'knowledge']","['design', 'language', 'verification', 'structure', 'implementation', 'model', 'system', 'software']"
Design studio 1,"['design', 'software', 'knowledge']","['field', 'part', 'design', 'topic']"
Internet of Things and Intelligent Embedded Systems,"['computer', 'knowledge']","['design', 'technology', 'communication', 'structure', 'computing', 'city', 'health', 'concept', 'construction', 'history', 'architecture', 'internet of things', 'big data', 'software', 'data']"
Discrete system simulation,[],"['simulation', 'process simulation', 'paradigm', 'verification', 'process', 'optimization', 'scope', 'issue', 'interpretation', 'construction', 'implementation', 'model', 'system', 'concept', 'cellular automaton']"
Web application programming,[],"['library', 'http', 'communication', 'component', 'management', 'architecture', 'technology', 'event', 'frame', 'appearance', 'authorization', 'emphasis', 'interactivity', 'page layout', 'system', 'data', 'website', 'language', 'concept', 'query', 'context', 'protocol', 'interface', 'flux', 'implementation', 'model', 'design']"
Operating systems,[],"['computer', 'procedure', 'structure', 'safety', 'scope', 'management', 'algorithm', 'process', 'architecture', 'graph', 'fault', 'phenomenon', 'detection', 'control', 'condition', 'memory', 'system', 'language', 'atomic', 'environment', 'concept', 'operation', 'operating system', 'context', 'prevention', 'implementation', 'software']"
Digital image processing,[],"['language', 'environment']"
Legal aspects and company organization,[],"['business', 'final', 'recruitment', 'work', 'safety', 'company', 'business activity', 'tax', 'management', 'activity', 'process', 'system', 'concept']"
Professional practice,"['engineering', 'knowledge']","['information', 'document', 'safety', 'structure', 'scope', 'economics', 'occupational health', 'nature', 'management', 'issue', 'implementation', 'literature', 'industry', 'knowledge', 'software development', 'software']"
Copyright and Patent Law,[],"['computer', 'property', 'consideration', 'entity', 'law', 'commerce', 'implementation', 'rights', 'data protection', 'software', 'data']"
Theory of Computation,"['set theory', 'logic']","['decision', 'flow', 'language', 'logic', 'lambda calculus', 'interpretation', 'history', 'arithmetic', 'semantics', 'function', 'computability']"
Software Engineering Team Project,"['design', 'software development', 'software', 'knowledge']","['software engineering', 'phase', 'requirements engineering', 'language', 'topic', 'software', 'life', 'management', 'selection', 'implementation', 'design']"
Design Studio 2,"['design', 'software', 'knowledge']","['field', 'design', 'topic']"
Engineering diploma workshop,['material'],"['work', 'part', 'scope', 'engineering']"
Graduation project,[],"['topic', 'text', 'research']"
