,course_name,covered_concepts
10,Discrete mathematics,"['logic', 'relation (mathematics)', 'function (mathematics)', 'graph theory', 'combinatorics', 'algebraic structure', 'recurrence relation']"
11,Graph theory,"['graph theory', 'graph (data structure)', 'subgraph', 'graph isomorphism', 'adjacency matrix', 'incidence matrix', 'path (graph theory)', 'cycle (graph theory)', 'tree (graph theory)', ""cayley's formula"", 'connectivity (graph theory)', 'connected component', 'spanning tree', 'hamiltonian graph', 'hamiltonian cycle', 'hamiltonian path', 'eulerian graph', 'eulerian cycle', 'eulerian path', 'matching (graph theory)', 'bipartite graph', 'perfect matching', 'vertex coloring', 'edge coloring', ""brooks' theorem"", ""vizing's theorem"", 'independent set (graph theory)', 'clique (graph theory)', ""ramsey's theorem"", ""turán's theorem"", 'planar graph', 'dual graph', ""euler's formula"", ""kuratowski's theorem"", 'directed graph', 'network (graph theory)', 'flow network', 'cut (graph theory)', 'maximum flow minimum cut theorem']"
12,Programming Basics 2,"['object-oriented programming', 'class (computer programming)', 'association (object-oriented programming)', 'aggregation (object-oriented programming)', 'composition (computer science)', 'inheritance (object-oriented programming)', 'multiple inheritance', 'attribute (computer programming)', 'method (computer programming)', 'constructor (computer science)', 'destructor', 'reference (computer science)', 'pointer (computer programming)', 'inline function', 'static method', 'static variable', 'inner class', 'enumeration', 'access specifier', 'virtual function', 'abstract class', 'interface (computer science)', 'function overloading', 'operator overloading', 'assignment operator', 'copy constructor', 'member access operator', 'type casting', 'run-time type information', 'exception handling', 'container (data structure)', 'iterator', 'template (c++)', 'standard library', 'algorithm', 'function object', 'input/output']"
13,Algorithms and data structures,"['algorithm', 'data structure', 'divide and conquer algorithm', 'dynamic programming', 'greedy algorithm', 'heuristic', 'array', 'list', 'queue', 'stack (abstract data type)', 'binary search algorithm', 'computational complexity', 'time complexity', 'memory complexity', 'np-completeness', 'undecidability', 'sorting algorithm', 'shellsort', 'quicksort', 'merge sort', 'heapsort', 'heap (data structure)', 'priority queue', 'external sorting', 'hash table', 'tree (data structure)', 'binary tree', 'avl tree', 'binary search tree', 'red-black tree', 'splay tree', 'b-tree', 'binomial heap', 'fibonacci heap', 'disjoint-set data structure', 'graph algorithm', 'breadth-first search', 'depth-first search', 'minimum spanning tree', 'shortest path problem', 'graph coloring', 'text algorithm', 'pattern matching', 'knuth-morris-pratt algorithm', 'boyer-moore algorithm', 'rabin-karp algorithm']"
14,Basics of computer graphics,"['computer graphics', 'raster graphics', 'vector graphics', 'color model', 'rgb color model', 'cmyk color model', 'hsl color model', 'hsv color model', 'lossless compression', 'rle', 'lzw', 'jpeg', 'color palette', 'bitmap', 'image interlacing', 'digital image processing', 'arithmetic operation', 'histogram', 'image filtering', '3d computer graphics', 'vector object', 'scene lighting', 'texture mapping', 'bump mapping', 'rendering (computer graphics)', 'phong shading model', 'flat shading', 'gouraud shading', 'ray tracing', 'radiosity', 'computer animation', 'opengl']"
15,Introduction to Intelligent Systems,"['intelligent system', 'automatic inference', 'machine learning', 'neural network', 'deep learning', 'multi-agent system', 'game theory']"
16,Operational research,"['operational research', 'linear programming', 'simplex method', 'duality', 'allocation problem', 'network programming', 'ranking', 'integer programming']"
17,Physics 2,"['electrostatics', 'electric field', 'electric potential', 'potential energy', 'electric dipole', ""gauss's law"", 'capacitor', 'electric field energy', 'dielectric', 'piezoelectricity', 'direct current', ""ohm's law"", 'electromotive force', 'electrical conductivity', ""kirchhoff's circuit laws"", 'rc circuit', 'rlc circuit', 'magnetic field', 'lorentz force', 'hall effect', ""ampere's law"", 'biot-savart law', ""faraday's law of induction"", ""lenz's law"", 'inductance', 'self-induction', 'rl circuit', 'magnetism', ""maxwell's equations"", 'electromagnetic wave', 'divergence', 'curl (mathematics)', ""stokes' theorem"", 'displacement current', 'wave equation', 'poynting vector', 'geometrical optics', 'wave optics', ""fermat's principle"", 'interference (wave propagation)', 'diffraction', 'diffraction grating', 'x-ray', 'x-ray diffraction', ""bragg's law"", 'polarization (waves)', 'birefringence', 'theory of relativity', 'lorentz transformation', 'length contraction', 'time dilation', 'relativistic mass', 'relativistic energy', 'thermal radiation', 'photoelectric effect', 'compton scattering', 'bohr model', 'matter wave', 'schrodinger equation', 'de broglie hypothesis', 'heisenberg uncertainty principle', 'wave function', 'atomic physics', 'atomic spectrum', 'laser', 'population inversion', 'solid-state physics', 'chemical bond', 'crystal lattice', 'effective mass', 'semiconductor', 'superconductivity']"
18,Elements of modern physics,"['quantum mechanics', 'wave-particle duality', 'de broglie wave', 'bohr model', 'schrödinger equation', 'wave function', 'heisenberg uncertainty principle', 'atomic physics', 'hydrogen atom', 'zeeman effect', 'electron spin', 'pauli exclusion principle', 'laser', 'condensed matter physics', 'chemical bond', 'crystal structure', 'semiconductor', 'insulator', 'superconductor', 'nuclear physics', 'radioactive decay', 'nuclear fission', 'nuclear fusion', 'cosmology']"
19,Advanced programming 1,"['java', 'data type', 'unicode', 'control statement', 'expression (computer science)', 'class (computer science)', 'package (java)', 'method (computer science)', 'access modifier', 'static field', 'array', 'container (data structure)', 'constructor', 'cloning', 'interface (computing)', 'constant (computer science)', 'inner class', 'nested class', 'exception handling', 'exception', 'generic type', 'reflection (computer science)', 'concurrent programming', 'thread (computing)', 'daemon thread', 'mutual exclusion', 'monitor (synchronization)', 'thread synchronization', 'graphical user interface', 'composition (computer science)', 'inheritance (object-oriented programming)', 'input/output', 'concurrency', 'producer-consumer problem', 'reader-writer problem']"
20,Numerical methods,"['numerical computation', 'floating-point representation', 'interval arithmetic', 'numerical stability', 'differential analysis', 'nonlinear equation', 'iterative method', 'convergence (mathematics)', 'bisection method', ""newton's method"", 'secant method', ""steffensen's method"", ""brent's method"", 'homotopy', 'system of linear equations', 'gaussian elimination', 'lu decomposition', 'jacobi method', 'gauss-seidel method', 'relaxation method', 'eigenvalue problem', 'power iteration', 'qr decomposition', 'singular value decomposition', 'interpolation', 'polynomial interpolation', 'lagrange polynomial', 'newton polynomial', ""runge's phenomenon"", 'hermite interpolation', 'chebyshev nodes', 'spline interpolation', 'shape-preserving interpolation', 'numerical differentiation', 'numerical integration', 'quadrature', 'newton-cotes formulas', ""romberg's method"", 'gaussian quadrature', 'initial value problem', 'differential equation', 'local error', 'global error', 'multistep method', 'runge-kutta method', 'stability region', 'static optimization', 'gradient-free optimization', 'nelder-mead method', 'gradient method', 'steepest descent', 'conjugate gradient method', 'trust region', 'approximation theory', 'least squares approximation', 'regression analysis', 'spline approximation', 'multivariable approximation', 'fixed-point iteration', 'jacobi matrix', 'boundary value problem']"
21,Fundamentals of artificial intelligence,"['artificial intelligence', 'intelligent system', 'knowledge base', 'intelligent agent', 'symbolic knowledge', 'logic in artificial intelligence', 'state space search', 'heuristic search', 'prolog', 'logic programming', 'constraint programming', 'rule-based system', 'expert system', 'business rule', 'decision support system', 'probabilistic method', 'bayesian network', 'planning', 'machine learning', 'computational intelligence', 'neural network', 'genetic algorithm', 'semantic network', 'ontology']"
22,Databases,"['relational database', 'database management system', 'client-server architecture', 'postgresql', 'query language', 'attribute (computer science)', 'data type', 'projection (relational algebra)', 'selection (relational algebra)', 'join (sql)', 'aggregate function', 'subquery', 'data manipulation language', 'entity-relationship model', 'data model', 'functional dependency', 'key (relational database)', 'normal form', 'normalization (database)', 'data structure', 'sequence (data structure)', 'view (sql)', 'trigger (database)', 'transaction (database)', 'user management', 'permission (computer science)']"
23,Formal linguistics and automata,"['formal language', 'generative grammar', 'grammatical parsing', 'deterministic automaton', 'nondeterministic automaton', 'regular language', 'rabin-scott automaton', 'moore automaton', 'mealy automaton', 'pumping lemma', 'myhill-nerode theorem', 'regular expression', 'pushdown automaton', 'context-free language', 'context-free grammar', 'linear-bounded automaton', 'turing machine', 'context-sensitive language', 'cocke-younger-kasami algorithm', 'earley algorithm', 'computational complexity', 'recursive language', 'recursively enumerable language', 'undecidable problem', 'finite automaton']"
24,Software Engineering,"['software engineering', 'forward engineering', 'reverse engineering', 'structured analysis', 'structured design', 'data flow diagram', 'data model', 'dynamics model', 'real-time system', 'unified modeling language', 'use case', 'system scenario', 'class model', 'object model', 'software life cycle', 'agile methodology', 'extreme programming', 'requirements engineering', 'system context', 'stakeholder', 'system viewpoint', 'requirements classification', 'requirements elicitation', 'requirements analysis', 'requirements specification', 'requirements management', 'capability maturity model integration', 'system architecture', 'architectural pattern', 'code design', 'code smell', 'refactoring', 'solid', 'grasp', 'dry principle', 'kiss principle', 'software testing', 'requirements set', 'domain model']"
25,Advanced programming 2,"['.net framework', 'c#', 'class (computer programming)', 'structure (computer science)', 'interface (computing)', 'delegate (computer science)', 'generic programming', 'anonymous function', 'iterator', 'linq', 'asynchronous programming', 'event (computing)', 'lambda expression', 'entity framework', 'reactive programming', 'stream (computing)', 'operator (mathematics)', 'subject (philosophy)', 'wpf', 'uwp', 'unity (game engine)']"
26,Computer networks,"['computer network', 'data transfer', 'network architecture', 'iso-osi model', 'network topology', 'signal transmission', 'transmission medium', 'local area network', 'storage area network', 'metropolitan area network', 'data link layer', 'ethernet', 'ieee 802.3', 'csma/cd', 'mac addressing', 'vlan', 'ieee 802.1q', 'spanning tree protocol', 'ip addressing', 'arp', 'ethernet switch', 'fibre channel', 'token ring', 'fddi', 'llc', 'snap', 'internet protocol', 'ip protocol', 'ip datagram', 'ip routing', 'ip packet fragmentation', 'ip encapsulation', 'icmp', 'ipv6 protocol', 'tcp protocol', 'udp protocol', 'ipx', 'rtp protocol', 'multicast', 'reverse path forwarding', 'igmp', 'pim protocol', 'router', 'access control list', 'dhcp', 'snmp', 'cidr', 'routing table', 'static routing', 'dynamic routing protocol', 'rip', 'igrp', 'eigrp', 'ospf', 'is-is protocol', 'network address translation', 'service level agreement', 'hsrp', 'vrrp', 'bgp protocol', 'autonomous system', 'multiprotocol label switching', 'vpn', 'physical medium', 'coaxial cable', 'copper pair', 'fiber optic', 'infrared', 'microwave', 'radio wave', 'wireless network', 'wi-fi', 'ieee 802.11', 'bluetooth', 'ieee 802.15', 'wimax', 'ieee 802.16', 'zigbee', 'gsm', 'gprs', 'edge', 'umts', 'frame relay', 'atm', 'dsl', 'cryptology', 'cryptography', 'cryptanalysis', 'key cryptosystem', 'rsa', 'secure socket layer', 'x.509', 'ssh', 'sftp', 'https', 'intrusion detection system', 'point-to-point protocol', 'open shortest path first version 3', 'routing information protocol next generation', 'exterior gateway protocol', 'interior gateway protocol', 'shdsl', 'vdsl', 'quality of service']"
27,Compilation Theory and Compilers,"['compiler', 'translator (computer science)', 'interpreter', 'lexical analysis', 'scanner (computer science)', 'syntactic analysis', 'grammatical parsing', 'semantic analysis', 'top-down parsing', 'll grammar', 'parser', 'bottom-up parsing', 'lr grammar', 'slr parser', 'lalr parser', 'operator precedence grammar', 'attribute grammar', 's-attributed grammar', 'l-attributed grammar', 'code generation', 'code optimization', 'intermediate code']"
28,Data Engineering,"['dataset', 'data format', 'data import', 'data analysis', 'data integration', 'database', 'data processing', 'multidimensional data', 'geometric data', 'geographic data', 'coordinate system', 'geospatial data', 'time series', 'log data', 'query design', 'data quality']"
29,Machine learning,"['machine learning', 'classification', 'naive bayes classifier', 'k-nearest neighbors algorithm', 'logistic regression', 'support vector machine', 'decision tree', 'ensemble method', 'random forest', 'gradient boosting', 'regression analysis', 'linear regression', 'polynomial regression', 'cluster analysis', 'k-means clustering', 'dbscan', 'pattern mining', 'principal component analysis', 'latent semantic analysis', 'latent dirichlet allocation', 'neural network', 'multilayer perceptron', 'convolutional neural network', 'generative adversarial network', 'recurrent neural network', 'long short-term memory', 'autoencoder', 'reinforcement learning', 'artificial intelligence']"
30,Software development models,"['software model', 'class diagram', 'object diagram', 'method (computer science)', 'attribute', 'verification and validation', 'object constraint language', 'behavioral model', 'state machine', 'sysml', 'software design']"
31,Design studio 1,"['intelligent system', 'artificial intelligence', 'design', 'validation']"
32,Internet of Things and Intelligent Embedded Systems,"['internet of things', 'wireless sensor', 'operating system', 'software', 'architecture', 'communication protocol', 'ipv6', 'bluetooth', 'data processing', 'cloud computing', 'big data', 'security', 'privacy']"
33,Discrete system simulation,"['complex system', 'discrete event simulation', 'modeling', 'simulation', 'cellular automaton', 'agent-based modeling', 'multi-agent system', 'model calibration', 'model validation', 'queuing system', 'molecular dynamics']"
34,Web application programming,"['web application', 'client–server model', 'http', 'http session', 'single-page application', 'xmlhttprequest', 'ajax', 'html5', 'css3', 'javascript', 'flexbox', 'css grid layout', 'cascading style sheets', 'box model', 'selector (web technology)', 'pseudo-class', 'bem methodology', 'ecmascript', 'typescript', 'responsive web design', 'media query', 'bootstrap', 'angular', 'react', 'vue.js', 'mean stack', 'node.js', 'express.js', 'mongoose', 'crud', 'reactive programming', 'rxjs', 'flux architecture', 'redux', 'authorization', 'authentication']"
35,Operating systems,"['operating system', 'kernel (operating system)', 'microkernel', 'process (computing)', 'resource (computer science)', 'thread (computing)', 'multithreading', 'concurrent programming', 'process synchronization', 'atomic instruction', 'interleaving', 'mutual exclusion', ""peterson's algorithm"", ""lamport's algorithm"", 'semaphore (programming)', 'posix', 'lock (computer science)', 'condition variable', 'monitor (synchronization)', 'critical region', 'producer-consumer problem', 'readers-writers problem', 'deadlock', 'deadlock prevention', 'deadlock avoidance', ""banker's algorithm"", 'deadlock detection', 'memory management', 'memory allocation', 'address translation', 'paging', 'segmentation', 'internal fragmentation', 'external fragmentation', 'memory protection', 'virtual memory', 'page fault', 'page replacement algorithm', 'linker (computing)', 'loader (computing)', 'static linking', 'dynamic linking', 'file system', 'directory (computing)', 'device driver']"
36,Digital image processing,"['image processing', 'image analysis', 'data compression']"
37,Legal aspects and company organization,"['business activity', 'entrepreneurship', 'partnership', 'joint-stock company', 'limited liability company', 'business plan', 'taxation', 'tax system', 'value added tax', 'employment contract', 'enterprise management', 'civil code', 'commercial law']"
38,Professional practice,"['occupational health and safety', 'organizational structure', 'information system', 'software development cycle', 'formal specification', 'software validation', 'software testing', 'software implementation', 'software maintenance', 'economics', 'management', 'marketing']"
39,Copyright and Patent Law,"['copyright law', 'copyright', 'license agreement', 'personal data protection', 'e-commerce', 'industrial property', 'invention', 'trademark']"
40,Theory of Computation,"['theory of computation', 'recursive function', 'lambda calculus', 'church-rosser theorem', 'turing machine', 'decision problem', 'halting problem', ""rice's theorem"", 'first-order logic', ""gödel's incompleteness theorems""]"
41,Software Engineering Team Project,"['software engineering', 'requirements engineering', 'software design', 'software implementation', 'software integration', 'software testing', 'software life cycle', 'software architecture', 'software configuration management']"
42,Design Studio 2,"['design', 'validation']"
43,Engineering diploma workshop,"['thesis', 'presentation (communication)', 'engineering', 'discussion']"
44,Graduation project,"['thesis', 'experiment', 'implementation']"
